artist,album,genre,name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Less+Than+Jake,Hello Rockview,ska,Scott Farcas Takes It On The Chin,0.372,0.97,-4.238,0.12,0.00711,5.46E-05,0.0562,0.635,131.544
Ed+Sheeran,÷ (Deluxe),pop,What Do I Know?,0.838,0.492,-5.69,0.038,0.251,0,0.262,0.9,115.092
Kendrick+Lamar,To Pimp A Butterfly,hip hop,Mortal Man,0.51,0.52,-9.07,0.732,0.68,0,0.72,0.413,85.161
Eagles,Hotel California (Remastered),classic rock,Wasted Time - Reprise; Remastered,0.195,0.245,-14.752,0.0385,0.186,0.912,0.254,0.113,112.07
Adele,25,pop,Million Years Ago,0.721,0.273,-7.617,0.028,0.733,0,0.108,0.186,105.846
Fleetwood+Mac,Rumours (Deluxe),classic rock,Dreams - 2004 Remastered Edition,0.828,0.492,-9.744,0.0276,0.0644,0.00428,0.128,0.78,120.151
Kendrick+Lamar,To Pimp A Butterfly,hip hop,The Blacker The Berry,0.56,0.858,-4.09,0.326,0.00744,0,0.429,0.253,176.117
Dessa,Chime,hip hop,Boy Crazy,0.693,0.446,-8.945,0.0296,0.0643,3.72E-06,0.276,0.304,119.938
Streetlight+Manifesto,Everything Goes Numb,ska,A Moment of Silence,0.703,0.715,-5.669,0.142,0.117,5.52E-06,0.113,0.589,160.177
Childish+Gambino,"""Awaken, My Love!""",hip hop,California,0.875,0.437,-11.342,0.555,0.337,0,0.138,0.818,148.851
Kendrick+Lamar,To Pimp A Butterfly,hip hop,Alright,0.791,0.779,-5.972,0.235,0.0734,0,0.0832,0.581,110.037
Streetlight+Manifesto,Everything Goes Numb,ska,We Are the Few,0.473,0.9,-6.337,0.0891,0.0142,0,0.125,0.773,131.372
Fleetwood+Mac,Rumours (Deluxe),classic rock,The Chain - 2004 Remastered Edition,0.545,0.67,-8.81,0.0496,0.009,0.000822,0.0451,0.468,151.553
Taylor+Swift,1989,pop,This Love,0.294,0.444,-8.818,0.0415,0.667,0,0.101,0.102,71.382
Fleetwood+Mac,Rumours (Deluxe),classic rock,Don't Stop - Live,0.437,0.842,-7.802,0.0732,0.157,0,0.933,0.657,125.065
Taylor+Swift,1989,pop,Blank Space,0.751,0.684,-5.448,0.0679,0.0847,0,0.0737,0.597,95.979
The+Beatles,Let It Be (Remastered),classic rock,Across The Universe - Remastered,0.257,0.412,-11.788,0.0287,0.361,8.68E-05,0.0702,0.862,152.126
No+Doubt,Tragic Kingdom,ska,Tragic Kingdom,0.404,0.865,-6.607,0.0612,0.0151,4.66E-05,0.545,0.633,152.046
Doomtree,No Kings,hip hop,Bangarang,0.484,0.937,-5.608,0.177,0.0704,0,0.752,0.696,75.992
Kendrick+Lamar,To Pimp A Butterfly,hip hop,Institutionalized,0.54,0.732,-5.247,0.456,0.123,0,0.127,0.59,82.647
Fleetwood+Mac,Rumours (Deluxe),classic rock,Oh Daddy - 2004 Remastered Edition,0.585,0.338,-10.887,0.0335,0.505,0.000125,0.136,0.478,138.131
Doomtree,No Kings,hip hop,Own Yours,0.567,0.861,-5.794,0.18,0.0253,0,0.153,0.392,119.992
No+Doubt,Tragic Kingdom,ska,Just A Girl,0.637,0.904,-4.769,0.0505,0.0999,8.20E-05,0.138,0.77,108.011
Ed+Sheeran,÷ (Deluxe),pop,New Man,0.78,0.745,-3.97,0.145,0.0559,0,0.0595,0.849,94.026
Fleetwood+Mac,Rumours (Deluxe),classic rock,I Don't Want To Know - 2004 Remastered Edition,0.722,0.697,-7.03,0.0278,0.0633,0.0103,0.0675,0.938,139.348
Dessa,Chime,hip hop,5 out of 6,0.648,0.765,-8.579,0.0641,0.0506,0.000277,0.0647,0.832,156.044
The+Beatles,Let It Be (Remastered),classic rock,For You Blue - Remastered,0.88,0.556,-10.773,0.0855,0.24,0.0483,0.24,0.958,128.542
Doomtree,No Kings,hip hop,Bolt Cutter,0.727,0.823,-8.549,0.207,0.0789,4.78E-06,0.066,0.362,141.969
Adele,25,pop,Send My Love (To Your New Lover),0.69,0.524,-8.39,0.103,0.0415,3.16E-06,0.17,0.561,164.023
Eagles,Hotel California (Remastered),classic rock,Pretty Maids All In A Row - Remastered,0.331,0.19,-13.482,0.0325,0.186,0.0508,0.101,0.0947,195.365
Kendrick+Lamar,To Pimp A Butterfly,hip hop,King Kunta,0.881,0.658,-4.53,0.101,0.00515,0,0.203,0.506,107.052
Fleetwood+Mac,Rumours (Deluxe),classic rock,Never Going Back Again - Live,0.608,0.388,-15.458,0.0361,0.761,0.0539,0.693,0.79,91.235
Eagles,Hotel California (Remastered),classic rock,Try And Love Again - Remastered,0.466,0.786,-6.81,0.0344,0.13,0.14,0.817,0.716,154.341
Doomtree,No Kings,hip hop,String Theory,0.507,0.948,-6.322,0.374,0.00308,4.09E-05,0.16,0.428,170.802
The+Beatles,Let It Be (Remastered),classic rock,Maggie Mae - Remastered,0.516,0.515,-12.035,0.215,0.379,0,0.103,0.534,169.039
Fleetwood+Mac,Rumours (Deluxe),classic rock,Rhiannon - Live,0.349,0.739,-8.281,0.0716,0.314,0.699,0.972,0.243,134.364
The+Beatles,Let It Be (Remastered),classic rock,The Long And Winding Road - Remastered,0.299,0.329,-10.096,0.0279,0.756,0.0105,0.0559,0.371,132.282
Doomtree,No Kings,hip hop,Punch-Out,0.244,0.835,-5.408,0.119,8.26E-05,6.45E-06,0.183,0.66,88.048
The+Beatles,Let It Be (Remastered),classic rock,I Me Mine - Remastered,0.291,0.638,-7.854,0.0554,0.179,0,0.101,0.535,185.235
Adele,25,pop,Remedy,0.396,0.305,-6.481,0.0387,0.891,0,0.169,0.251,165.398
Fleetwood+Mac,Rumours (Deluxe),classic rock,Gold Dust Woman - 2004 Remastered Edition,0.666,0.599,-9.352,0.0305,0.259,0.000769,0.373,0.708,123.16
Eagles,Hotel California (Remastered),classic rock,Wasted Time - Remastered,0.431,0.174,-11.373,0.0351,0.418,9.74E-05,0.109,0.144,117.563
Dessa,Chime,hip hop,Shrimp,0.699,0.54,-6.909,0.226,0.0225,0,0.0571,0.307,84.43
Pink Floyd,The Dark Side of the Moon,classic rock,Breathe (In the Air),0.431,0.375,-15.142,0.0347,0.391,0.721,0.143,0.266,128.153
Adele,25,pop,Love in the Dark,0.333,0.341,-6.025,0.0304,0.536,0,0.109,0.142,109.812
No+Doubt,Tragic Kingdom,ska,Hey You,0.583,0.816,-6.139,0.0307,0.00531,0.000822,0.186,0.761,119.015
